id,key,value,type
137410882,created_by,JOSM,regular
137410913,created_by,JOSM,regular
137411620,created_by,JOSM,regular
137411648,created_by,JOSM,regular
137411676,created_by,JOSM,regular
137411698,created_by,JOSM,regular
137411712,created_by,JOSM,regular
137412172,created_by,JOSM,regular
137412309,created_by,JOSM,regular
137412334,created_by,JOSM,regular
137412417,created_by,JOSM,regular
137412445,created_by,JOSM,regular
137412475,created_by,JOSM,regular
137412546,created_by,JOSM,regular
137412575,created_by,JOSM,regular
137412594,created_by,JOSM,regular
137412609,created_by,JOSM,regular
137412632,created_by,JOSM,regular
139642419,exit_to,Kallang-Paya Lebar Expressway;Kallang Bahru;Bendemeer Road,regular
139642419,highway,motorway_junction,regular
139642419,name,Kallang,regular
139642419,en,Kallang,name
139642419,zh,加冷,name
139642419,ref,13,regular
139642419,source,Kaart Ground Survey 2017,regular
139642645,exit_to,Central Expressway,regular
139642645,highway,motorway_junction,regular
139642645,name,Woodsville,regular
139642645,ref,15A,regular
139642779,exit_to,Kim Keat Link,regular
139642779,highway,motorway_junction,regular
139642779,name,Kim Keat,regular
139642779,ref,16,regular
139655667,exit_to,Eng Neo Avenue,regular
139655667,highway,motorway_junction,regular
139655667,name,Eng Neo,regular
139655667,ref,22,regular
139670995,exit_to,Upper Bukit Timah Road,regular
139670995,highway,motorway_junction,regular
139670995,name,Anak Bukit,regular
139670995,ref,26A,regular
139672022,exit_to,Jurong Canal Drive,regular
139672022,highway,motorway_junction,regular
139672022,ref,32,regular
139685890,exit_to,Jurong West Avenue 2;Corporation Road,regular
139685890,highway,motorway_junction,regular
139685890,name,Hong Kah,regular
139685890,en,Hong Kah,name
139685890,zh,丰加,name
139685890,ref,34,regular
139693888,exit_to,Stevens Road,regular
139693888,highway,motorway_junction,regular
139693888,name,Mount Pleasant,regular
139693888,ref,19,regular
139693914,exit_to,Central Expressway;Upper Serangoon Road;Bendemeer Road,regular
139693914,highway,motorway_junction,regular
139693914,name,Whampoa,regular
139693914,ref,15,regular
139695022,exit_to,Jurong Town Hall Road;Bukit Batok Road,regular
139695022,highway,motorway_junction,regular
139695022,name,Bukit Batok,regular
139695022,ref,31,regular
139696267,exit_to,Kranji Expressway,regular
139696267,highway,motorway_junction,regular
139696267,name,Tengah,regular
139696267,ref,35,regular
139696656,exit_to,Bedok North Road,regular
139696656,highway,motorway_junction,regular
139696656,name,Bedok North,regular
139696656,ref,8B,regular
139696800,exit_to,Lornie Road,regular
139696800,highway,motorway_junction,regular
139696800,name,Adam,regular
139696800,ref,20B,regular
139697107,exit_to,Kim Keat Link,regular
139697107,highway,motorway_junction,regular
139697107,name,Kim Keat,regular
139697107,ref,16A,regular
139697312,exit_to,Jurong West Avenue 2;Corporation Road,regular
139697312,highway,motorway_junction,regular
139697312,name,Hong Kah,regular
139697312,en,Hong Kah,name
139697312,zh,丰加,name
139697312,ref,34,regular
139697526,exit_to,Paya Lebar Road;Geylang Road;Airport Road,regular
139697526,highway,motorway_junction,regular
139697526,name,Paya Lebar,regular
139697526,en,Paya Lebar,name
139697526,zh,巴耶利峇,name
139697526,ref,11,regular
139697526,source,Kaart Ground Survey 2017,regular
139700093,exit_to,Toh Guan Road,regular
139700093,highway,motorway_junction,regular
139700093,name,Toh Guan,regular
139700093,ref,30,regular
139700249,exit_to,Eng Neo Avenue,regular
139700249,highway,motorway_junction,regular
139700249,name,Eng Neo,regular
139700249,ref,22,regular
139701133,exit_to,Toh Tuck Avenue;Bukit Batok East Avenue 3;Clementi North,regular
139701133,highway,motorway_junction,regular
139701133,name,Toh Tuck,regular
139701133,ref,28,regular
139703496,exit_to,Kallang-Paya Lebar Expressway;Kallang Way;Sims Way,regular
139703496,highway,motorway_junction,regular
139703496,name,Kallang,regular
139703496,ref,13,regular
141851065,highway,motorway_junction,regular
141851065,ref,15,regular
148119053,exit_to,Clementi Avenue 2,regular
148119053,highway,motorway_junction,regular
148119053,name,West Coast,regular
148119053,ref,10A,regular
148124046,exit_to,Corporation Road,regular
148124046,highway,motorway_junction,regular
148124046,name,Yuan Ching,regular
148124046,ref,15A,regular
148133106,exit_to,Jalan Boon Lay,regular
148133106,highway,motorway_junction,regular
148133106,name,Boon Lay,regular
148133106,ref,17,regular
148144313,exit_to,Yuan Ching Road,regular
148144313,highway,motorway_junction,regular
148144313,name,Yuan Ching,regular
148144313,ref,15B,regular
148145160,created_by,JOSM,regular
148145208,created_by,JOSM,regular
148145309,created_by,JOSM,regular
148145375,created_by,JOSM,regular
148145697,created_by,JOSM,regular
148146084,created_by,JOSM,regular
148146101,created_by,JOSM,regular
148981692,created_by,JOSM,regular
148981823,created_by,JOSM,regular
148981828,created_by,JOSM,regular
148981834,created_by,JOSM,regular
148981841,created_by,JOSM,regular
148981851,created_by,JOSM,regular
148981858,created_by,JOSM,regular
148981921,created_by,JOSM,regular
148981926,created_by,JOSM,regular
148981932,created_by,JOSM,regular
148981958,exit_to,Lentor Avenue,regular
148981958,highway,motorway_junction,regular
148981958,name,Lentor,regular
148981958,ref,3,regular
148982010,created_by,JOSM,regular
148982039,created_by,JOSM,regular
148982058,created_by,JOSM,regular
148982070,created_by,JOSM,regular
148982100,created_by,JOSM,regular
148982194,created_by,JOSM,regular
148982199,created_by,JOSM,regular
148982204,created_by,JOSM,regular
148990743,exit_to,Mandai Avenue;Mandai Road,regular
148990743,highway,motorway_junction,regular
148990743,name,Sembawang,regular
148990743,ref,8A,regular
148990750,created_by,JOSM,regular
148990758,created_by,JOSM,regular
148990763,created_by,JOSM,regular
148992624,created_by,JOSM,regular
148992646,created_by,JOSM,regular
148992686,created_by,JOSM,regular
148992716,created_by,JOSM,regular
148992748,exit_to,Lentor Avenue;Ang Mo Kio Avenue 6,regular
148992748,highway,motorway_junction,regular
148992748,name,Lentor,regular
148992748,ref,3,regular
